id_servidor,paso_temporal,temperatura_cpu,uso_cpu,uso_memoria,trafico_red,fallo
0,0,50.0,33.49,25.64,285.44,0
0,1,43.83,36.35,36.82,151.25,0
0,2,48.4,30.99,31.97,325.13,0
0,3,43.4,32.73,33.1,244.56,0
0,4,48.14,29.7,34.18,508.13,0
0,5,45.18,30.05,32.3,191.25,0
0,6,48.32,38.86,37.52,11.23,0
0,7,47.72,41.87,31.49,175.86,0
0,8,47.61,37.03,32.88,759.6,0
0,9,53.66,42.26,42.98,297.26,0
0,10,54.88,40.66,37.56,185.04,0
0,11,51.42,37.63,30.74,163.53,0
0,12,57.1,42.7,35.0,165.1,0
0,13,64.46,48.49,37.87,811.23,0
0,14,50.62,43.3,39.15,828.84,0
0,15,54.57,50.85,40.78,273.25,0
0,16,42.47,35.28,33.03,305.47,0
0,17,59.88,50.25,41.95,138.94,0
0,18,59.53,48.55,42.75,68.87,0
0,19,50.73,48.26,40.19,118.44,0
0,20,57.98,51.11,40.43,265.21,0
0,21,57.16,44.11,37.78,191.1,0
0,22,57.06,52.52,44.08,255.61,0
0,23,61.24,56.19,44.59,391.55,0
0,24,61.25,62.06,49.79,207.71,0
0,25,52.66,55.49,40.5,82.93,0
0,26,61.85,55.76,41.86,306.89,0
0,27,64.18,58.44,48.18,186.16,0
0,28,65.11,65.59,46.19,284.69,0
0,29,57.96,64.74,53.03,307.94,0
0,30,57.89,62.82,52.23,64.92,0
0,31,59.0,68.53,54.76,345.84,0
0,32,66.56,68.43,47.21,288.61,0
0,33,70.88,73.49,52.65,107.53,0
0,34,65.17,68.41,48.48,216.53,0
0,35,68.66,71.52,54.56,874.34,0
0,36,62.06,72.9,57.76,182.87,0
0,37,64.91,70.27,53.83,284.63,0
0,38,62.85,78.98,54.9,352.48,0
0,39,65.96,80.53,54.36,180.88,1
1,0,52.73,40.96,59.68,142.44,0
1,1,52.07,43.15,57.87,11.89,0
1,2,62.65,46.85,50.1,15.77,0
1,3,49.98,35.55,49.46,244.26,0
1,4,52.83,49.03,60.98,307.25,0
1,5,54.48,32.69,45.7,364.96,0
1,6,55.15,39.9,55.43,80.65,0
1,7,58.98,42.86,56.42,143.54,0
1,8,50.7,41.63,51.36,209.08,0
1,9,53.39,38.01,52.01,425.69,0
1,10,44.44,39.67,45.89,193.78,0
1,11,52.86,38.53,58.12,366.15,0
1,12,48.92,38.14,51.08,200.4,0
1,13,46.77,43.9,57.34,318.39,0
1,14,55.42,41.93,55.83,854.1,0
1,15,42.12,37.73,56.39,199.93,0
1,16,44.64,44.1,53.35,57.55,0
1,17,52.65,41.73,54.39,147.71,0
1,18,54.41,43.75,56.47,358.69,0
1,19,55.67,43.02,57.17,285.34,0
1,20,52.07,37.19,55.48,127.96,0
1,21,55.51,38.26,50.58,138.92,0
1,22,54.81,43.49,52.31,27.7,0
1,23,51.22,42.94,58.75,353.32,0
1,24,50.3,40.42,46.4,286.33,0
1,25,49.72,40.97,58.55,598.32,0
1,26,54.16,45.61,54.46,204.02,0
1,27,45.15,38.14,52.08,80.5,0
1,28,53.0,42.69,51.89,121.59,0
1,29,49.91,39.69,52.64,340.13,0
1,30,51.33,39.63,56.96,297.79,0
1,31,53.77,44.9,57.68,219.68,0
1,32,42.34,43.8,56.27,178.23,0
1,33,48.52,43.76,54.92,275.57,0
1,34,52.6,45.72,50.74,146.23,0
1,35,50.45,40.59,50.41,19.76,0
1,36,52.92,43.23,53.26,179.26,0
1,37,51.27,39.26,54.11,228.37,0
1,38,57.29,41.8,53.97,314.72,0
1,39,51.64,39.98,56.17,7.06,0
2,0,40.51,22.75,31.43,484.64,0
2,1,44.38,23.4,34.15,242.87,0
2,2,38.21,22.98,37.93,109.43,0
2,3,38.8,21.89,37.18,163.99,0
2,4,49.79,25.54,40.14,308.52,0
2,5,43.74,22.03,42.16,110.06,0
2,6,42.77,26.43,38.53,282.27,0
2,7,46.89,25.15,38.72,98.49,0
2,8,48.37,24.39,36.05,152.41,0
2,9,40.21,21.72,38.75,876.2,0
2,10,40.89,23.04,36.35,332.42,0
2,11,42.84,28.37,38.75,81.78,0
2,12,48.44,27.35,41.13,0.33,0
2,13,45.76,21.44,40.09,854.15,0
2,14,49.39,25.75,31.33,44.95,0
2,15,49.08,28.36,40.98,162.12,0
2,16,34.06,18.67,34.54,179.2,0
2,17,45.78,27.52,42.54,779.52,0
2,18,38.21,22.7,36.42,276.53,0
2,19,42.66,27.63,43.76,161.13,0
2,20,42.94,22.3,34.83,309.66,0
2,21,43.68,18.13,27.83,41.39,0
2,22,37.1,18.84,38.98,57.94,0
2,23,34.45,25.54,35.74,242.0,0
2,24,44.86,26.39,33.69,84.11,0
2,25,52.57,21.73,36.86,160.26,0
2,26,44.02,27.9,38.8,180.08,0
2,27,40.79,18.7,38.16,198.99,0
2,28,50.67,25.09,41.26,98.69,0
2,29,43.79,20.51,36.57,197.91,0
2,30,43.33,22.74,34.35,86.09,0
2,31,45.52,25.54,39.47,260.91,0
2,32,43.08,21.91,37.43,166.22,0
2,33,38.39,23.81,39.62,645.7,0
2,34,40.15,29.38,37.36,488.39,0
2,35,50.15,23.04,36.08,47.15,0
2,36,45.93,28.69,41.62,968.3,0
2,37,41.98,20.83,40.52,139.12,0
2,38,44.27,27.47,42.58,69.41,0
2,39,49.44,31.12,41.3,31.12,0
3,0,45.53,21.41,30.49,136.5,0
3,1,44.44,24.32,35.4,759.51,0
3,2,37.71,27.05,40.89,245.22,0
3,3,36.21,24.44,36.6,310.03,0
3,4,34.5,13.02,33.76,77.93,0
3,5,42.2,15.27,34.12,192.57,0
3,6,39.03,17.89,37.5,29.83,0
3,7,38.21,20.49,37.93,29.12,0
3,8,38.31,22.46,33.81,286.09,0
3,9,35.84,17.48,35.16,65.92,0
3,10,33.99,21.13,29.68,79.09,0
3,11,35.16,17.36,32.83,179.01,0
3,12,35.97,17.94,35.98,263.37,0
3,13,41.52,14.76,32.29,52.7,0
3,14,39.02,16.69,34.19,237.7,0
3,15,35.59,14.98,31.24,75.57,0
3,16,48.82,16.48,36.35,324.68,0
3,17,40.66,24.6,36.01,221.18,0
3,18,44.3,16.59,31.13,338.86,0
3,19,52.71,30.91,42.04,44.18,0
3,20,36.0,22.36,30.63,16.73,0
3,21,42.01,21.12,36.37,235.51,0
3,22,37.73,16.95,29.39,208.8,0
3,23,40.27,23.19,39.86,216.67,0
3,24,42.54,18.08,32.48,291.96,0
3,25,39.11,20.87,35.04,230.6,0
3,26,44.1,30.63,40.35,228.67,0
3,27,40.53,20.0,27.84,926.47,0
3,28,42.0,24.98,34.3,240.29,0
3,29,35.39,17.57,36.56,282.89,0
3,30,44.5,20.24,37.18,301.02,0
3,31,48.83,27.47,38.5,363.8,0
3,32,41.6,17.88,28.8,102.1,0
3,33,43.21,27.63,39.57,237.67,0
3,34,39.86,23.22,38.01,846.2,0
3,35,37.53,18.13,33.52,788.34,0
3,36,51.97,22.91,39.55,97.26,0
3,37,46.92,24.28,33.87,239.39,0
3,38,39.16,22.87,33.82,230.19,0
3,39,39.15,14.1,23.35,228.05,0
4,0,47.0,30.65,38.74,360.09,0
4,1,49.06,27.99,41.32,282.03,0
4,2,49.09,22.52,41.59,779.54,0
4,3,42.68,27.2,42.13,138.09,0
4,4,50.01,29.77,40.43,141.4,0
4,5,43.9,26.2,36.49,429.21,0
4,6,42.73,24.83,40.31,225.83,0
4,7,49.39,30.11,41.68,231.6,0
4,8,48.22,29.59,43.1,303.63,0
4,9,41.21,33.73,44.11,208.65,0
4,10,51.12,28.72,43.22,148.91,0
4,11,55.32,38.69,42.48,156.44,0
4,12,45.73,35.29,47.06,171.41,0
4,13,53.48,43.26,46.95,735.06,0
4,14,52.22,39.65,51.53,267.32,0
4,15,52.45,42.19,43.55,186.23,0
4,16,49.66,43.18,51.99,267.92,0
4,17,48.97,42.73,46.72,170.31,0
4,18,58.13,57.02,50.34,189.44,0
4,19,58.24,46.84,46.32,59.78,0
4,20,59.31,54.64,50.37,289.96,0
4,21,52.57,47.93,49.8,221.58,0
4,22,60.66,55.59,53.58,299.76,0
4,23,47.21,57.84,50.97,167.55,0
4,24,63.13,57.69,52.71,430.6,0
4,25,51.44,57.39,59.73,163.25,0
4,26,58.4,60.55,59.78,312.98,0
4,27,56.01,61.94,56.15,55.21,0
