temperatura_cpu,uso_cpu,uso_memoria,trafico_red,fallo
54.33,63.49,65.25,93.56,0
62.8,52.5,47.14,180.69,0
63.88,63.77,51.63,24.54,0
55.88,34.84,35.7,35.72,0
61.44,90.74,71.94,22.88,0
53.53,27.96,45.15,162.29,0
64.4,77.03,82.08,291.68,1
50.52,40.0,26.67,82.63,0
59.14,46.11,63.38,181.08,0
55.21,73.44,79.59,232.81,0
70.06,85.5,45.61,430.4,0
47.93,23.66,44.33,208.38,0
57.31,61.73,64.6,215.06,0
62.37,56.1,84.1,109.2,0
48.56,28.66,63.88,475.5,0
62.91,65.36,40.05,314.69,0
48.91,30.25,40.04,33.33,0
63.3,53.96,57.71,424.71,0
53.99,41.25,62.04,307.52,0
58.09,46.62,57.26,235.09,0
48.18,44.75,40.85,299.05,0
67.5,70.84,50.45,370.37,0
48.11,29.7,26.75,87.05,0
65.11,59.75,32.55,141.56,0
45.63,42.22,36.12,194.24,0
58.41,45.75,54.9,535.15,0
55.98,61.69,65.88,309.41,0
61.53,38.76,60.04,681.08,0
48.08,44.62,41.07,142.15,0
50.59,53.1,65.36,103.56,0
44.43,30.19,34.41,870.53,1
56.81,42.55,28.91,223.36,0
60.66,58.44,69.83,349.41,0
47.76,16.01,55.55,353.62,0
41.23,23.34,30.24,29.95,0
49.62,43.63,39.21,269.08,0
55.12,58.25,71.06,384.49,0
71.3,91.15,66.83,166.61,1
44.73,42.85,47.24,1000.0,0
38.48,21.13,43.76,140.49,0
34.33,18.21,21.7,280.73,0
55.25,42.73,44.28,243.1,0
78.76,85.56,60.03,346.95,1
41.89,19.08,34.67,183.32,0
48.92,44.12,50.83,389.0,0
61.59,56.24,76.68,289.63,1
48.09,35.4,52.58,376.45,0
69.81,71.16,63.76,110.62,0
60.03,71.22,34.18,435.15,0
38.39,23.42,48.72,116.68,0
63.7,61.02,62.03,123.7,0
60.91,63.08,53.67,140.95,0
57.39,45.11,73.95,124.95,0
42.23,31.57,33.78,484.03,0
70.05,78.0,67.84,278.27,1
46.22,24.98,34.35,274.38,0
41.25,36.82,25.38,83.73,0
60.47,61.94,60.55,392.82,0
53.88,69.49,66.02,44.23,0
76.18,80.06,70.96,194.55,1
40.4,32.58,58.56,94.37,0
66.09,76.17,81.58,235.95,1
56.32,52.92,42.1,430.11,0
51.35,52.52,65.95,55.79,0
62.29,45.75,70.86,92.16,0
63.9,76.88,44.99,220.94,0
40.32,21.03,35.04,435.5,0
38.29,21.17,13.75,691.24,0
65.56,80.53,62.61,92.57,0
60.44,63.01,61.59,224.59,0
74.58,84.92,39.13,201.12,1
65.51,71.11,69.54,46.25,0
47.44,41.81,48.72,139.2,0
66.2,74.41,59.6,95.19,0
55.95,66.93,52.2,195.44,0
54.98,37.1,44.15,13.11,0
52.09,49.18,76.1,570.34,0
44.39,31.86,39.61,283.23,0
60.09,82.22,49.95,238.07,0
71.96,92.37,79.69,279.04,1
82.57,91.64,72.15,126.3,1
47.36,26.74,38.59,178.67,0
65.67,61.14,64.77,275.81,0
74.16,90.39,70.92,699.3,1
37.25,39.89,67.99,302.47,0
64.19,69.23,62.69,516.07,0
46.3,28.9,33.93,21.98,0
64.91,61.82,82.1,279.92,0
53.21,46.5,73.43,77.23,0
51.14,49.99,66.5,303.64,0
61.59,65.4,62.63,250.84,0
54.52,52.68,46.33,481.94,0
67.58,71.66,67.19,455.23,0
59.38,60.58,50.68,17.21,0
34.52,16.25,43.48,314.64,0
61.45,57.87,65.07,312.06,0
60.58,70.16,58.39,378.34,0
62.78,70.34,67.95,270.86,0
61.91,70.05,70.37,289.48,0
63.75,66.44,54.5,45.11,0
43.29,39.46,40.76,263.29,0
55.77,51.32,36.42,167.51,0
56.76,42.09,62.83,302.54,0
64.24,69.04,69.79,185.82,0
55.19,57.66,64.99,267.08,0
64.08,73.71,78.95,817.96,1
53.51,43.55,37.47,295.25,0
60.68,56.27,29.27,88.43,0
59.95,44.41,52.6,562.82,0
64.61,88.56,83.54,238.08,1
74.32,89.13,75.73,294.76,1
40.68,16.86,27.18,208.85,0
46.32,31.85,29.6,33.77,0
46.58,27.84,31.34,317.43,0
36.75,12.81,27.57,240.25,0
62.77,77.75,46.82,333.32,0
67.22,74.25,54.54,100.27,0
67.96,71.11,69.71,150.15,0
60.3,62.03,61.78,240.18,0
65.29,60.86,46.14,1000.0,1
71.06,87.5,73.75,157.08,1
56.76,48.82,52.48,240.33,0
36.57,27.13,31.69,414.47,0
74.31,67.61,65.58,268.68,0
57.01,56.83,73.53,1000.0,1
39.2,20.96,47.55,174.82,0
49.03,39.91,63.98,208.18,1
55.89,62.26,61.73,236.47,0
67.98,90.91,61.72,133.33,0
52.66,44.48,60.49,237.74,0
48.56,34.76,38.45,435.17,0
68.23,76.33,61.48,461.65,0
49.58,38.6,34.65,406.29,0
38.39,14.79,19.01,245.85,0
56.75,66.88,60.23,92.13,0
56.43,58.4,54.53,567.05,0
59.84,58.77,57.74,122.92,0
63.61,74.56,63.84,428.66,0
62.86,63.92,51.66,254.9,0
59.08,60.33,53.34,45.06,0
53.28,47.81,77.41,22.27,0
48.65,33.95,46.6,408.57,0
41.63,15.67,42.31,113.86,0
65.61,65.37,55.22,11.01,0
68.03,56.78,50.13,159.68,0
52.22,34.57,45.65,199.24,0
33.36,19.05,45.35,255.65,0
49.11,48.98,62.02,247.88,0
62.72,69.77,41.89,90.13,0
58.8,66.55,57.38,200.24,0
47.85,30.21,44.77,457.63,0
53.74,41.85,38.63,42.12,0
43.85,31.01,26.41,270.64,0
47.16,20.02,31.61,41.91,0
80.67,89.99,73.05,138.25,1
40.83,38.89,38.15,369.86,0
60.56,77.61,57.54,105.0,0
55.63,39.44,59.03,514.71,0
66.65,65.86,56.01,6.0,0
66.81,70.2,52.34,101.41,0
58.27,56.99,46.35,202.91,0
61.88,66.08,54.49,135.65,0
65.56,67.12,45.28,107.22,0
66.0,72.0,50.73,296.23,0
49.93,24.77,54.86,61.16,0
42.1,29.36,64.03,285.47,0
76.24,95.98,91.64,324.09,1
43.04,14.32,43.84,5.83,0
47.48,31.87,57.87,353.97,0
